Cement_component_1,Blast Furnace Slag_component_2,Fly_Ash_component_3,Water_component_4,Superplasticizer_component_5,Coarse_Aggregate_component_6,Fine_Aggregate_component_7,Age_day,prediction
117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.2,40.27233333333334
106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4,28.8935
97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.1,30.98066666666667
0.0,0.0,141.8,28.2,852.1,893.7,3.0,41.3,39.733000000000004
106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4,28.8935
212.5,0.0,155.7,14.3,852.1,880.4,3.0,25.2,28.278
94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.1,43.467333333333336
189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3,35.27216666666667
282.8,0.0,183.8,10.3,942.7,659.9,3.0,28.3,40.64133333333333
151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.6,30.78133333333334
189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3,35.27216666666667
200.9,0.0,144.7,11.2,1004.6,803.7,3.0,24.4,32.36866666666667
189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3,35.27216666666667
177.0,0.0,186.0,11.1,884.9,707.9,3.0,39.3,43.881000000000014
189.0,0.0,145.9,22.0,944.7,755.8,3.0,40.6,39.62483333333334
189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3,35.27216666666667
189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.1,32.92583333333333
189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.2,46.7595
262.2,0.0,175.5,8.6,1046.9,611.8,7.0,42.8,57.91687500000002
106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2,43.40416666666667
106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.8,42.14866666666667
93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.7,42.24566666666667
118.8,0.0,181.1,8.9,852.1,781.5,7.0,55.6,56.164333333333346
117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.9,42.40216666666667
106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2,43.40416666666667
97.1,0.0,157.9,12.1,852.1,925.7,7.0,34.9,30.98066666666667
0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.9,39.733000000000004
106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2,43.40416666666667
212.5,0.0,155.7,14.3,852.1,880.4,7.0,33.4,32.8635
94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.1,46.061
189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9,46.278999999999996
282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.8,48.515
151.2,0.0,153.9,15.9,1134.3,605.0,7.0,47.1,39.889500000000005
189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9,46.278999999999996
200.9,0.0,144.7,11.2,1004.6,803.7,7.0,38.0,44.80583333333334
189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9,46.278999999999996
177.0,0.0,186.0,11.1,884.9,707.9,7.0,56.1,44.821999999999996
189.0,0.0,145.9,22.0,944.7,755.8,7.0,59.09,41.517500000000005
189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.9,31.98616666666667
189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.1,35.86683333333333
189.2,0.0,170.1,10.1,926.1,756.7,28.0,61.09,46.22166666666667
262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.8,57.27854166666667
106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29,42.23766666666668
106.3,0.0,151.4,18.6,936.0,803.7,28.0,61.8,41.64666666666667
93.8,0.0,126.6,23.4,852.1,992.6,28.0,56.7,40.783666666666676
118.8,0.0,181.1,8.9,852.1,781.5,28.0,68.3,56.36683333333334
117.2,0.0,137.8,32.2,852.1,840.5,28.0,66.9,41.35666666666667
106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29,42.23766666666668
97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.7,44.24816666666667
0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.4,37.00316666666667
106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29,42.23766666666668
212.5,0.0,155.7,14.3,852.1,880.4,28.0,55.5,42.69116666666668
94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.5,44.74033333333334
189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3,46.111333333333334
282.8,0.0,183.8,10.3,942.7,659.9,28.0,74.7,47.29600000000001
151.2,0.0,153.9,15.9,1134.3,605.0,28.0,52.2,39.81783333333335
189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3,46.111333333333334
200.9,0.0,144.7,11.2,1004.6,803.7,28.0,67.7,47.29316666666667
189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3,46.111333333333334
177.0,0.0,186.0,11.1,884.9,707.9,28.0,66.0,45.655666666666676
189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.5,40.36133333333334
189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3,46.111333333333334
189.0,0.0,174.9,9.5,944.7,755.8,28.0,49.9,47.03166666666667
189.2,0.0,170.1,10.1,926.1,756.7,56.0,63.4,48.67850000000001
262.2,0.0,175.5,8.6,1046.9,611.8,56.0,64.9,58.393875
106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3,44.80066666666668
106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.9,44.088666666666676
93.8,0.0,126.6,23.4,852.1,992.6,56.0,60.2,43.07566666666667
118.8,0.0,181.1,8.9,852.1,781.5,56.0,72.3,58.05900000000001
117.2,0.0,137.8,32.2,852.1,840.5,56.0,69.3,43.46516666666666
106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3,44.80066666666668
97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.2,50.30255555555557
0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.8,36.99850000000001
106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3,44.80066666666668
212.5,0.0,155.7,14.3,852.1,880.4,56.0,66.1,45.180666666666674
94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.7,47.10600000000001
189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3,48.068
282.8,0.0,183.8,10.3,942.7,659.9,56.0,80.2,48.451666666666675
151.2,0.0,153.9,15.9,1134.3,605.0,56.0,54.9,42.47708333333334
189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3,48.068
200.9,0.0,144.7,11.2,1004.6,803.7,56.0,72.99,49.168000000000006
189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3,48.068
177.0,0.0,186.0,11.1,884.9,707.9,56.0,71.7,47.01700000000001
189.0,0.0,145.9,22.0,944.7,755.8,56.0,79.4,43.099666666666664
189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3,48.068
189.0,0.0,174.9,9.5,944.7,755.8,56.0,59.89,48.6405
189.2,0.0,170.1,10.1,926.1,756.7,91.0,64.9,54.86500000000001
262.2,0.0,175.5,8.6,1046.9,611.8,91.0,66.6,58.393875
106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2,51.644111111111116
106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.7,51.644111111111116
93.8,0.0,126.6,23.4,852.1,992.6,91.0,62.5,50.52944444444445
118.8,0.0,181.1,8.9,852.1,781.5,91.0,74.19,60.139
117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.7,50.80044444444445
106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2,51.644111111111116
97.1,0.0,157.9,12.1,852.1,925.7,91.0,57.6,51.7637777777778
0.0,0.0,141.8,28.2,852.1,893.7,91.0,59.2,44.978444444444456
106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2,51.644111111111116
212.5,0.0,155.7,14.3,852.1,880.4,91.0,68.1,51.83677777777778
94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.5,53.69377777777778
189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3,53.04877777777778
151.2,0.0,153.9,15.9,1134.3,605.0,91.0,56.5,42.71208333333335
189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3,53.04877777777778
200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.8,53.52744444444444
189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3,53.04877777777778
177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.3,53.841666666666676
189.0,0.0,145.9,22.0,944.7,755.8,91.0,82.6,50.54911111111112
189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3,53.04877777777778
189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.8,56.14666666666667
0.0,96.7,189.3,4.5,967.1,870.3,3.0,11.58,29.183833333333332
0.0,96.7,189.3,4.5,967.1,870.3,14.0,24.45,36.1385
0.0,96.7,189.3,4.5,967.1,870.3,28.0,24.89,36.1385
0.0,96.7,189.3,4.5,967.1,870.3,56.0,29.45,40.56400000000001
0.0,96.7,189.3,4.5,967.1,870.3,100.0,40.71,46.104583333333345
0.0,94.6,197.9,4.6,947.0,852.2,3.0,10.38,24.015833333333337
0.0,94.6,197.9,4.6,947.0,852.2,14.0,22.14,36.1385
0.0,94.6,197.9,4.6,947.0,852.2,28.0,22.84,36.1385
0.0,94.6,197.9,4.6,947.0,852.2,56.0,27.66,40.56400000000001
0.0,94.6,197.9,4.6,947.0,852.2,100.0,34.56,40.64266666666667
0.0,100.5,165.6,7.5,1006.4,905.9,3.0,12.45,28.704333333333334
0.0,100.5,165.6,7.5,1006.4,905.9,14.0,24.99,37.70400000000001
0.0,100.5,165.6,7.5,1006.4,905.9,28.0,25.72,37.70400000000001
0.0,100.5,165.6,7.5,1006.4,905.9,56.0,33.96,39.60200000000001
0.0,100.5,165.6,7.5,1006.4,905.9,100.0,37.34,46.753111111111124
0.0,125.4,162.1,7.8,1090.0,804.0,3.0,15.04,33.12733333333333
0.0,125.4,162.1,7.8,1090.0,804.0,14.0,21.06,37.684000000000005
0.0,125.4,162.1,7.8,1090.0,804.0,28.0,26.4,37.684000000000005
0.0,125.4,162.1,7.8,1090.0,804.0,56.0,35.34,38.111000000000004
0.0,125.4,162.1,7.8,1090.0,804.0,100.0,40.57,46.95877777777779
0.0,121.6,180.3,5.7,1057.6,779.3,3.0,12.47,28.44683333333333
0.0,121.6,180.3,5.7,1057.6,779.3,14.0,20.92,36.63750000000001
0.0,121.6,180.3,5.7,1057.6,779.3,28.0,24.9,36.63750000000001
0.0,121.6,180.3,5.7,1057.6,779.3,56.0,34.2,37.14200000000001
0.0,121.6,180.3,5.7,1057.6,779.3,100.0,39.61,46.194250000000004
0.0,118.3,195.5,4.6,1029.4,758.6,3.0,10.03,24.015833333333337
0.0,118.3,195.5,4.6,1029.4,758.6,14.0,20.08,36.212
0.0,118.3,195.5,4.6,1029.4,758.6,28.0,24.48,36.212
0.0,118.3,195.5,4.6,1029.4,758.6,56.0,31.54,37.997
0.0,118.3,195.5,4.6,1029.4,758.6,100.0,35.34,41.05466666666667
0.0,125.2,161.9,9.9,1088.1,802.6,3.0,9.45,19.009833333333333
0.0,125.2,161.9,9.9,1088.1,802.6,14.0,22.72,27.771666666666665
0.0,125.2,161.9,9.9,1088.1,802.6,28.0,28.47,29.890666666666668
0.0,125.2,161.9,9.9,1088.1,802.6,56.0,38.56,43.090500000000006
0.0,125.2,161.9,9.9,1088.1,802.6,100.0,40.39,45.82466666666668
0.0,163.3,176.5,4.5,1058.6,780.1,3.0,10.76,24.916333333333334
0.0,163.3,176.5,4.5,1058.6,780.1,14.0,25.48,36.72500000000001
0.0,163.3,176.5,4.5,1058.6,780.1,28.0,21.54,36.72500000000001
0.0,163.3,176.5,4.5,1058.6,780.1,56.0,28.63,38.156000000000006
0.0,163.3,176.5,4.5,1058.6,780.1,100.0,33.54,41.98233333333334
42.1,163.8,121.8,5.7,1058.7,780.1,3.0,7.75,29.34183333333333
42.1,163.8,121.8,5.7,1058.7,780.1,14.0,17.82,42.7895
42.1,163.8,121.8,5.7,1058.7,780.1,28.0,24.24,44.3045
42.1,163.8,121.8,5.7,1058.7,780.1,56.0,32.85,52.2145
42.1,163.8,121.8,5.7,1058.7,780.1,100.0,39.23,65.94266666666667
98.1,24.5,181.7,6.9,1065.8,785.4,3.0,18.0,42.51466666666667
98.1,24.5,181.7,6.9,1065.8,785.4,14.0,30.39,49.773833333333336
98.1,24.5,181.7,6.9,1065.8,785.4,28.0,45.71,55.21666666666666
98.1,24.5,181.7,6.9,1065.8,785.4,56.0,50.77,55.07166666666666
98.1,24.5,181.7,6.9,1065.8,785.4,100.0,53.9,58.053999999999995
98.1,24.5,181.7,6.7,1066.0,785.5,3.0,13.18,37.47716666666666
98.1,24.5,181.7,6.7,1066.0,785.5,14.0,17.84,44.03933333333333
98.1,24.5,181.7,6.7,1066.0,785.5,28.0,40.23,53.53183333333334
98.1,24.5,181.7,6.7,1066.0,785.5,56.0,47.13,55.07166666666666
98.1,24.5,181.7,6.7,1066.0,785.5,100.0,49.97,57.79433333333332
0.0,118.2,195.2,6.1,1028.1,757.6,3.0,13.36,28.44683333333333
0.0,118.2,195.2,6.1,1028.1,757.6,14.0,22.32,36.73100000000001
0.0,118.2,195.2,6.1,1028.1,757.6,28.0,24.54,36.73100000000001
0.0,118.2,195.2,6.1,1028.1,757.6,56.0,31.35,37.729000000000006
0.0,118.2,195.2,6.1,1028.1,757.6,100.0,40.86,44.94002777777779
0.0,94.1,186.7,7.0,949.9,847.0,3.0,19.93,38.12633333333334
0.0,94.1,186.7,7.0,949.9,847.0,14.0,25.69,37.70400000000001
0.0,94.1,186.7,7.0,949.9,847.0,28.0,30.23,39.60200000000001
0.0,94.1,186.7,7.0,949.9,847.0,56.0,39.59,43.9705
0.0,94.1,186.7,7.0,949.9,847.0,100.0,44.3,49.318500000000014
0.0,95.7,187.4,5.5,956.9,861.2,3.0,13.82,28.770833333333332
0.0,95.7,187.4,5.5,956.9,861.2,14.0,24.92,36.624
0.0,95.7,187.4,5.5,956.9,861.2,28.0,29.22,38.633
0.0,95.7,187.4,5.5,956.9,861.2,56.0,38.33,44.693250000000006
0.0,95.7,187.4,5.5,956.9,861.2,100.0,42.35,49.0915
0.0,100.4,159.3,8.7,1007.8,903.6,3.0,13.54,27.46483333333333
0.0,100.4,159.3,8.7,1007.8,903.6,14.0,26.31,37.98016666666667
0.0,100.4,159.3,8.7,1007.8,903.6,28.0,31.64,40.36116666666666
0.0,100.4,159.3,8.7,1007.8,903.6,56.0,42.55,50.432500000000005
0.0,100.4,159.3,8.7,1007.8,903.6,100.0,42.92,51.344916666666684
0.0,100.4,159.4,10.4,1003.8,903.8,3.0,13.33,23.568833333333338
0.0,100.4,159.4,10.4,1003.8,903.8,14.0,25.37,26.675166666666673
0.0,100.4,159.4,10.4,1003.8,903.8,28.0,37.4,42.646
0.0,100.4,159.4,10.4,1003.8,903.8,56.0,44.4,49.1195
0.0,100.4,159.4,10.4,1003.8,903.8,100.0,47.74,49.96100000000002
0.0,124.8,159.0,7.8,1085.4,799.5,3.0,19.52,38.10633333333334
0.0,124.8,159.0,7.8,1085.4,799.5,14.0,31.35,38.111000000000004
0.0,124.8,159.0,7.8,1085.4,799.5,28.0,38.5,44.4885
0.0,124.8,159.0,7.8,1085.4,799.5,56.0,45.08,49.19850000000001
0.0,124.8,159.0,7.8,1085.4,799.5,100.0,47.82,50.46258333333335
0.0,121.6,174.0,6.7,1056.4,778.5,3.0,15.44,32.86983333333334
0.0,121.6,174.0,6.7,1056.4,778.5,14.0,26.77,37.92100000000001
0.0,121.6,174.0,6.7,1056.4,778.5,28.0,33.73,37.92100000000001
0.0,121.6,174.0,6.7,1056.4,778.5,56.0,42.7,49.19850000000001
0.0,121.6,174.0,6.7,1056.4,778.5,100.0,45.84,51.33958333333335
0.0,118.3,188.5,5.8,1028.4,757.7,3.0,17.22,32.85483333333334
0.0,118.3,188.5,5.8,1028.4,757.7,14.0,29.93,37.729000000000006
0.0,118.3,188.5,5.8,1028.4,757.7,28.0,29.65,37.729000000000006
0.0,118.3,188.5,5.8,1028.4,757.7,56.0,36.97,42.575500000000005
0.0,118.3,188.5,5.8,1028.4,757.7,100.0,43.58,49.91116666666668
0.0,118.3,188.5,6.4,1028.4,757.7,3.0,13.12,28.44683333333333
0.0,118.3,188.5,6.4,1028.4,757.7,14.0,24.43,36.73100000000001
0.0,118.3,188.5,6.4,1028.4,757.7,28.0,32.66,38.01700000000001
0.0,118.3,188.5,6.4,1028.4,757.7,56.0,36.64,42.575500000000005
0.0,118.3,188.5,6.4,1028.4,757.7,100.0,44.21,49.27316666666669
0.0,167.0,169.6,7.6,1055.6,777.8,3.0,13.62,29.359333333333336
0.0,167.0,169.6,7.6,1055.6,777.8,14.0,21.6,38.10200000000001
0.0,167.0,169.6,7.6,1055.6,777.8,28.0,27.77,37.34400000000001
0.0,167.0,169.6,7.6,1055.6,777.8,56.0,35.57,37.34400000000001
0.0,167.0,169.6,7.6,1055.6,777.8,100.0,45.37,54.366000000000014
45.2,122.0,170.2,8.2,1059.4,780.7,3.0,7.32,29.50616666666666
45.2,122.0,170.2,8.2,1059.4,780.7,14.0,21.5,42.57883333333333
45.2,122.0,170.2,8.2,1059.4,780.7,28.0,31.27,48.43683333333333
45.2,122.0,170.2,8.2,1059.4,780.7,56.0,43.5,58.49649999999999
45.2,122.0,170.2,8.2,1059.4,780.7,100.0,48.67,59.05091666666667
42.2,124.3,158.3,10.8,1080.8,796.2,3.0,7.4,21.221833333333336
42.2,124.3,158.3,10.8,1080.8,796.2,14.0,23.51,34.623666666666665
42.2,124.3,158.3,10.8,1080.8,796.2,28.0,31.12,37.15566666666666
42.2,124.3,158.3,10.8,1080.8,796.2,56.0,39.15,50.057500000000005
42.2,124.3,158.3,10.8,1080.8,796.2,100.0,48.15,58.30966666666668
0.0,96.2,168.1,9.4,961.2,865.0,3.0,22.5,26.69216666666666
0.0,96.2,168.1,9.4,961.2,865.0,14.0,34.67,29.27466666666667
0.0,96.2,168.1,9.4,961.2,865.0,28.0,34.74,29.27466666666667
0.0,96.2,168.1,9.4,961.2,865.0,56.0,45.08,49.1195
0.0,96.2,168.1,9.4,961.2,865.0,100.0,48.97,49.76433333333335
0.0,97.4,160.6,11.8,973.9,875.6,3.0,23.14,28.2435
0.0,97.4,160.6,11.8,973.9,875.6,14.0,41.89,47.12183333333333
0.0,97.4,160.6,11.8,973.9,875.6,28.0,48.28,47.26383333333333
0.0,97.4,160.6,11.8,973.9,875.6,56.0,51.04,48.23083333333333
0.0,97.4,160.6,11.8,973.9,875.6,100.0,55.64,47.9067777777778
0.0,95.6,171.5,8.9,955.1,859.2,3.0,22.95,36.297166666666655
0.0,95.6,171.5,8.9,955.1,859.2,14.0,35.23,37.74266666666666
0.0,95.6,171.5,8.9,955.1,859.2,28.0,39.94,46.771499999999996
0.0,95.6,171.5,8.9,955.1,859.2,56.0,48.72,50.196000000000005
0.0,95.6,171.5,8.9,955.1,859.2,100.0,52.04,51.344916666666684
0.0,99.9,146.1,12.4,1006.0,899.8,3.0,21.02,28.2435
0.0,99.9,146.1,12.4,1006.0,899.8,14.0,33.36,30.059999999999995
0.0,99.9,146.1,12.4,1006.0,899.8,28.0,33.94,30.059999999999995
0.0,99.9,146.1,12.4,1006.0,899.8,56.0,44.14,47.01983333333333
0.0,99.9,146.1,12.4,1006.0,899.8,100.0,45.37,47.9067777777778
0.0,98.8,158.1,12.8,987.8,889.0,3.0,15.36,22.478166666666667
0.0,98.8,158.1,12.8,987.8,889.0,14.0,28.68,29.1065
0.0,98.8,158.1,12.8,987.8,889.0,28.0,30.85,29.1065
0.0,98.8,158.1,12.8,987.8,889.0,56.0,42.03,46.06633333333333
0.0,98.8,158.1,12.8,987.8,889.0,100.0,51.06,48.103111111111126
0.0,98.8,146.3,14.2,987.8,889.0,3.0,21.78,28.262
0.0,98.8,146.3,14.2,987.8,889.0,14.0,42.29,44.71483333333333
0.0,98.8,146.3,14.2,987.8,889.0,28.0,50.6,44.71483333333333
0.0,98.8,146.3,14.2,987.8,889.0,56.0,55.83,45.28033333333333
0.0,98.8,146.3,14.2,987.8,889.0,100.0,60.95,45.527777777777786
0.0,125.1,143.3,12.0,1086.8,800.9,3.0,23.52,29.353
0.0,125.1,143.3,12.0,1086.8,800.9,14.0,42.22,45.94683333333333
0.0,125.1,143.3,12.0,1086.8,800.9,28.0,52.5,46.08883333333333
0.0,125.1,143.3,12.0,1086.8,800.9,56.0,60.32,47.27583333333333
0.0,125.1,143.3,12.0,1086.8,800.9,100.0,66.42,47.05811111111111
0.0,121.4,159.5,9.9,1053.6,777.5,3.0,23.8,27.32516666666666
0.0,121.4,159.5,9.9,1053.6,777.5,14.0,38.77,42.1235
0.0,121.4,159.5,9.9,1053.6,777.5,28.0,51.33,47.1195
0.0,121.4,159.5,9.9,1053.6,777.5,56.0,56.85,48.1565
0.0,121.4,159.5,9.9,1053.6,777.5,100.0,58.61,50.155000000000015
0.0,117.5,174.8,9.5,1022.8,753.5,3.0,21.91,27.41866666666666
0.0,117.5,174.8,9.5,1022.8,753.5,14.0,36.99,42.1235
0.0,117.5,174.8,9.5,1022.8,753.5,28.0,47.4,46.977500000000006
0.0,117.5,174.8,9.5,1022.8,753.5,56.0,51.96,48.0865
0.0,117.5,174.8,9.5,1022.8,753.5,100.0,56.74,49.95833333333335
0.0,174.7,154.8,10.2,1053.5,776.4,3.0,17.57,29.434666666666665
0.0,174.7,154.8,10.2,1053.5,776.4,14.0,33.73,30.49933333333334
